F.j1.a1;F.j2.a1;F.j3.a1;F.j1.a0;F.j2.a0;F.j3.a0
0,020843768736616704;6,13663811563169e-03;6,16456102783726e-03;0,030570792291220557;8,23297644539614e-03;6,10807280513919e-03
0,021032055674518203;6,20995717344754e-03;6,23280513918630e-03;0,030848650963597429;8,33312633832976e-03;6,17599571734475e-03
0,021225481798715203;6,28094218415418e-03;6,30092077087794e-03;0,031126059957173449;8,43119914346895e-03;6,24511777301927e-03
0,021414860813704497;6,35385438972163e-03;6,36738758029979e-03;0,031408394004282657;8,52798715203426e-03;6,31173447537473e-03
0,021607794432548181;6,42982869379015e-03;6,43578158458244e-03;0,031683297644539615;8,62605995717345e-03;6,37922912205567e-03
0,021800578158458244;6,50610278372591e-03;6,50252676659529e-03;0,031962055674518201;8,72289079229122e-03;6,44676659528908e-03
0,021992334047109208;6,58072805139186e-03;6,57070663811563e-03;0,032241862955032119;8,82119914346895e-03;6,51541755888651e-03
0,022183361884368310;6,65603854389722e-03;6,64029978586724e-03;0,032517708779443252;8,92089935760171e-03;6,58259100642398e-03
0,022370749464668094;6,73139186295503e-03;6,71137044967880e-03;0,032797216274089935;9,02102783725910e-03;6,64980728051392e-03
0,022562291220556745;6,80704496788009e-03;6,77965738758030e-03;0,033071391862955032;9,12419700214133e-03;6,71430406852248e-03
0,022758693790149893;6,88276231263383e-03;6,84646680942184e-03;0,033350492505353317;9,22364025695931e-03;6,78248394004283e-03
0,022946937901498928;6,95802997858672e-03;6,91458244111349e-03;0,033623297644539613;9,32451820128480e-03;6,85124197002141e-03
0,023136852248394003;7,03282655246253e-03;6,98308351177730e-03;0,033903747323340470;9,42342612419700e-03;6,92057815845824e-03
0,023328715203426123;7,10745182012848e-03;7,05423982869379e-03;0,034180749464668092;9,52331905781585e-03;6,98916488222698e-03
0,023520042826552463;7,18464668094218e-03;7,12419700214133e-03;0,034455032119914346;9,62199143468951e-03;7,05674518201285e-03
0,023711541755888649;7,26122055674518e-03;7,19271948608137e-03;0,034730021413276232;9,72635974304068e-03;7,12297644539615e-03
0,023902226980728053;7,33466809421842e-03;7,25929336188437e-03;0,035005074946466812;9,82640256959315e-03;7,19066381156317e-03
0,024094154175588866;7,41023554603854e-03;7,32892933618844e-03;0,035286445396145609;9,92736616702355e-03;7,25901498929336e-03
0,024286059957173447;7,48443254817987e-03;7,39783725910064e-03;0,035562291220556742;1,00268736616702e-02;7,32811563169165e-03
0,024472098501070665;7,55967880085653e-03;7,46644539614561e-03;0,035836209850107069;1,01288436830835e-02;7,39661670235546e-03
0,024664753747323340;7,63668094218415e-03;7,53565310492505e-03;0,036112698072805142;1,02312419700214e-02;7,46586723768737e-03
0,024855888650963599;7,71554603854390e-03;7,60436830835118e-03;0,036390299785867240;1,03313276231263e-02;7,53477516059957e-03
0,025045331905781586;7,79231263383298e-03;7,67460385438972e-03;0,036662248394004282;1,04312847965739e-02;7,60132762312634e-03
0,025233319057815846;7,87072805139186e-03;7,74374732334047e-03;0,036937473233404711;1,05342398286938e-02;7,67079229122056e-03
0,025425952890792292;7,94608137044968e-03;7,81304068522484e-03;0,037216723768736616;1,06356531049251e-02;7,74049250535332e-03
