estimator,timescale,J,time,F.a0,F.a1,RR,RD,SR
cox_gcomp,cont,3,360,0.025418310859994502,0.03297658154684667,1.2973553486100453,0.007558270686852168,0.9922446001488887
cox_gcomp,cont,3,720,0.04361067058679541,0.0576047799879099,1.320887278567821,0.013994109401114493,0.9853677692015859
cox_gcomp,cont,3,1080,0.06639445535543659,0.0899291078023918,1.3544671361631724,0.023534652446955212,0.974791653089512
cox_gcomp,cont,3,1440,0.091916540212348,0.12790000402030827,1.3914797459176587,0.03598346380796026,0.9603742768133067
glm_gcomp,1mo,F1,360,0.07100895682168266,0.05196651161362522,0.7318303766118303,-0.019042445208057444,1.0204979857964058
glm_gcomp,1mo,F1,720,0.13032471970943618,0.09719959997549675,0.7458262729603937,-0.03312511973393943,1.038089066671956
glm_gcomp,1mo,F1,1080,0.17925202918819988,0.13621192660466175,0.7598905698392425,-0.04304010258353813,1.052440096246558
glm_gcomp,1mo,F1,1440,0.2190206027451073,0.1694975804997517,0.7738887500780477,-0.0495230222453556,1.0634114323878796
glm_gcomp,1mo,F2,360,0.056901086732299225,0.04091897632052378,0.7191246893584654,-0.015982110411775448,1.0169463777202328
glm_gcomp,1mo,F2,720,0.11329765980447183,0.08332644750043104,0.7354648599471086,-0.02997121230404079,1.0338007592237004
glm_gcomp,1mo,F2,1080,0.16836876416528293,0.1268047587693094,0.7531370762146161,-0.04156400539597352,1.0499788892059294
glm_gcomp,1mo,F2,1440,0.2212211166358848,0.1708181759850975,0.7721603551357749,-0.05040294065078732,1.064720476797034
glm_gcomp,1mo,F3,360,0.032396636649337236,0.03336876488613215,1.0300070728735602,9.721282367949127e-4,0.9989953236278255
glm_gcomp,1mo,F3,720,0.059532111048743126,0.06252229378458103,1.0502280648739237,0.0029901827358379054,0.9968205371273522
glm_gcomp,1mo,F3,1080,0.0819812642648321,0.08776882464182666,1.0705961347253494,0.005787560376994558,0.9936955966673602
glm_gcomp,1mo,F3,1440,0.10028663520877053,0.10940500885392591,1.0909231187802175,0.009118373645155387,0.9898652459750099
glm_gcomp,3mo,F1,360,0.06996799536427836,0.051052137288807364,0.7296498495206517,-0.018915858075470998,1.0203389324036005
glm_gcomp,3mo,F1,720,0.1285264541719667,0.0954010946368145,0.742268159900911,-0.03312535953515221,1.0380107459299617
glm_gcomp,3mo,F1,1080,0.17706933520038187,0.13364491317146518,0.754760348652266,-0.04342442202891669,1.052768020303983
glm_gcomp,3mo,F1,1440,0.21687555006575665,0.16634928697957474,0.7670264671565681,-0.05052626308618191,1.0645188170161517
glm_gcomp,3mo,F2,360,0.05800910285512912,0.04500365429630198,0.7758033150192529,-0.01300544855882714,1.0138063420763896
glm_gcomp,3mo,F2,720,0.11348075143129165,0.08973141874950871,0.7907192860265623,-0.023749332681782934,1.0267894157065698
glm_gcomp,3mo,F2,1080,0.16596238035998978,0.13382559814646017,0.8063610431242215,-0.03213678221352961,1.038531573944351
glm_gcomp,3mo,F2,1440,0.2150158401072889,0.1768934873180545,0.8226997937909502,-0.038122352789234426,1.048564486695432
glm_gcomp,3mo,F3,360,0.032243243125605975,0.03296633281298679,1.0224260842671429,7.230896873808151e-4,0.9992528187664469
glm_gcomp,3mo,F3,720,0.05917198815152707,0.061557204904751736,1.0403098970938178,0.0023852167532246657,0.9974647685621749
glm_gcomp,3mo,F3,1080,0.08144173164425332,0.0861662249359761,1.0580107175564477,0.004724493291722781,0.9948566210174343
